,id,filepath,label
0,S 1,/content/drive/MyDrive/Data/Sad/S 1.mp3,0
1,S 2,/content/drive/MyDrive/Data/Sad/S 2.mp3,0
2,S 3,/content/drive/MyDrive/Data/Sad/S 3.mp3,0
3,S 4,/content/drive/MyDrive/Data/Sad/S 4.mp3,0
4,S 5,/content/drive/MyDrive/Data/Sad/S 5.mp3,0
5,S 6,/content/drive/MyDrive/Data/Sad/S 6.mp3,0
6,S 7,/content/drive/MyDrive/Data/Sad/S 7.mp3,0
7,S 8,/content/drive/MyDrive/Data/Sad/S 8.mp3,0
8,S 9,/content/drive/MyDrive/Data/Sad/S 9.mp3,0
9,S 10,/content/drive/MyDrive/Data/Sad/S 10.mp3,0
10,S 11,/content/drive/MyDrive/Data/Sad/S 11.mp3,0
11,S 12,/content/drive/MyDrive/Data/Sad/S 12.mp3,0
12,S 13,/content/drive/MyDrive/Data/Sad/S 13.mp3,0
13,S 14,/content/drive/MyDrive/Data/Sad/S 14.mp3,0
14,S 15,/content/drive/MyDrive/Data/Sad/S 15.mp3,0
15,S 16,/content/drive/MyDrive/Data/Sad/S 16.mp3,0
16,S 17,/content/drive/MyDrive/Data/Sad/S 17.mp3,0
17,S 18,/content/drive/MyDrive/Data/Sad/S 18.mp3,0
18,S 19,/content/drive/MyDrive/Data/Sad/S 19.mp3,0
19,S 20,/content/drive/MyDrive/Data/Sad/S 20.mp3,0
20,S 21,/content/drive/MyDrive/Data/Sad/S 21.mp3,0
21,S 22,/content/drive/MyDrive/Data/Sad/S 22.mp3,0
22,S 23,/content/drive/MyDrive/Data/Sad/S 23.mp3,0
23,S 24,/content/drive/MyDrive/Data/Sad/S 24.mp3,0
24,S 25,/content/drive/MyDrive/Data/Sad/S 25.mp3,0
25,S 26,/content/drive/MyDrive/Data/Sad/S 26.mp3,0
26,S 27,/content/drive/MyDrive/Data/Sad/S 27.mp3,0
27,S 28,/content/drive/MyDrive/Data/Sad/S 28.mp3,0
28,S 29,/content/drive/MyDrive/Data/Sad/S 29.mp3,0
29,S 30,/content/drive/MyDrive/Data/Sad/S 30.mp3,0
30,S 31,/content/drive/MyDrive/Data/Sad/S 31.mp3,0
31,S 32,/content/drive/MyDrive/Data/Sad/S 32.mp3,0
32,S 33,/content/drive/MyDrive/Data/Sad/S 33.mp3,0
33,S 34,/content/drive/MyDrive/Data/Sad/S 34.mp3,0
34,S 35,/content/drive/MyDrive/Data/Sad/S 35.mp3,0
35,S 36,/content/drive/MyDrive/Data/Sad/S 36.mp3,0
36,S 37,/content/drive/MyDrive/Data/Sad/S 37.mp3,0
37,S 38,/content/drive/MyDrive/Data/Sad/S 38.mp3,0
38,S 39,/content/drive/MyDrive/Data/Sad/S 39.mp3,0
39,S 40,/content/drive/MyDrive/Data/Sad/S 40.mp3,0
40,S 41,/content/drive/MyDrive/Data/Sad/S 41.mp3,0
41,S 42,/content/drive/MyDrive/Data/Sad/S 42.mp3,0
